movie_title,director_name,num_critic_for_reviews,duration,Actor_1,Actor_2,genre1,genre2,gross,num_user_for_reviews,language,country,content_rating,budget,title_year,imdb_score,num_voted_users,Profit
AvatarÂ ,James Cameron,723,178,Joel David Moore,CCH Pounder,Action,Adventure,"$760,505,847.00 ",3054,English,USA,PG-13,"$237,000,000.00 ",2009,8.9,886204,"$523,505,847.00"
Pirates of the Caribbean: At World's EndÂ ,Gore Verbinski,302,169,Orlando Bloom,Johnny Depp,Action,Adventure,"$309,404,152.00 ",1238,English,USA,PG-13,"$300,000,000.00 ",2007,7.1,471220,"$9,404,152.00"
SpectreÂ ,Sam Mendes,602,148,Rory Kinnear,Christoph Waltz,Action,Adventure,"$200,074,175.00 ",994,English,UK,PG-13,"$245,000,000.00 ",2015,6.4,275868,"-$44,925,825.00"
The Dark Knight RisesÂ ,Christopher Nolan,813,164,Christian Bale,Tom Hardy,Action,Thriller,"$448,130,642.00 ",2701,English,USA,PG-13,"$250,000,000.00 ",2012,8.5,1144337,"$198,130,642.00"
Star Wars: Episode VII - The Force AwakensÂ             ,Doug Walker,110,103,Rob Walker,Doug Walker,Documentary,NA,"$25,517,500.00 ",156,Unknown,Unknown,Unknown,"$20,000,000.00 ",2005,7.1,45678,"$5,517,500.00"
John CarterÂ ,Andrew Stanton,462,132,Samantha Morton,Daryl Sabara,Action,Adventure,"$73,058,679.00 ",738,English,USA,PG-13,"$263,700,000.00 ",2012,6.6,212204,"-$190,641,321.00"
Spider-Man 3Â ,Sam Raimi,392,156,James Franco,J.K. Simmons,Action,Adventure,"$11,336,530,303.00 ",1902,English,USA,PG-13,"$258,000,000.00 ",2007,6.2,383056,"$11,078,530,303.00"
TangledÂ ,Nathan Greno,324,100,Donna Murphy,Brad Garrett,Adventure,Animation,"$11,200,807,262.00 ",387,English,USA,PG,"$260,000,000.00 ",2010,7.8,294810,"$10,940,807,262.00"
Avengers: Age of UltronÂ ,Joss Whedon,635,141,Robert Downey Jr.,Chris Hemsworth,Action,Adventure,"$458,991,599.00 ",1117,English,USA,PG-13,"$250,000,000.00 ",2015,7.5,462669,"$208,991,599.00"
Harry Potter and the Half-Blood PrinceÂ ,David Yates,375,153,Daniel Radcliffe,Alan Rickman,Adventure,Family,"$301,956,980.00 ",973,English,UK,PG,"$250,000,000.00 ",2009,7.5,321795,"$51,956,980.00"
